Date,Task,Estimated Time (hours)
2023-10-16,Webpage Design,0.5
2023-10-16,Study Programming,1.9
2023-10-16,weightlifting,0.8
2023-10-17,Study Blender,2.5
2023-10-17,Yoga,3.9
2023-10-17,Study Programming,2.2
2023-10-17,Reading,2.1
2023-10-18,Study Blender,1.4
2023-10-18,Study Programming,2.2
2023-10-18,Study History,1.0
2023-10-18,weightlifting,3.6
2023-10-18,Webpage Design,2.0
2023-10-19,weightlifting,0.9
2023-10-19,Study Blender,1.8
2023-10-19,Reading,2.1
2023-10-19,Housework,0.8
2023-10-20,Webpage Design,1.1
2023-10-20,Reading,2.0
2023-10-20,weightlifting,2.9
2023-10-20,Study Blender,2.0
2023-10-21,Housework,3.5
2023-10-21,Study Blender,1.5
2023-10-21,weightlifting,2.0
2023-10-21,Reading,1.3
2023-10-21,Study History,3.9
2023-10-21,Yoga,1.7
2023-10-22,Reading,2.2
2023-10-22,Study History,3.3
2023-10-22,Study Programming,2.4
2023-10-22,Yoga,1.0
2023-10-22,Webpage Design,2.8
2023-10-22,weightlifting,1.8
2023-10-23,Study History,1.6
2023-10-23,Housework,3.1
2023-10-23,weightlifting,2.6
2023-10-23,Study Programming,2.5
2023-10-23,Reading,1.7
2023-10-24,Yoga,2.0
2023-10-24,weightlifting,2.6
2023-10-24,Reading,1.2
2023-10-25,Webpage Design,1.5
2023-10-25,Housework,2.1
2023-10-25,Yoga,2.0
2023-10-25,weightlifting,2.6
2023-10-26,Housework,3.7
2023-10-26,Study Programming,1.2
2023-10-26,weightlifting,1.5
2023-10-26,Study Blender,0.9
2023-10-26,Yoga,1.8
2023-10-26,Reading,3.5
2023-10-27,Webpage Design,2.2
2023-10-27,Reading,3.0
2023-10-27,Study Blender,0.7
2023-10-27,Housework,1.3
2023-10-27,Study History,1.5
2023-10-27,Yoga,1.6
2023-10-28,Study Blender,1.4
2023-10-28,Housework,1.1
2023-10-28,Study History,1.4
2023-10-28,weightlifting,1.9
2023-10-29,Study History,0.8
2023-10-29,weightlifting,3.3
2023-10-30,Study Programming,1.7
2023-10-30,Reading,3.9
2023-10-30,Study History,3.8
2023-10-30,Webpage Design,0.8
2023-10-31,Yoga,0.6
2023-10-31,Reading,1.6
2023-10-31,Study Programming,2.1
2023-10-31,Housework,2.7
2023-11-01,Study Blender,3.9
2023-11-01,Study Programming,3.0
2023-11-01,weightlifting,0.8
2023-11-01,Yoga,0.6
2023-11-02,Housework,2.9
2023-11-02,weightlifting,3.3
2023-11-02,Webpage Design,0.8
2023-11-02,Study History,3.7
2023-11-02,Study Blender,2.0
2023-11-03,Study Programming,2.6
2023-11-03,Yoga,1.0
2023-11-03,Housework,1.4
2023-11-03,Reading,0.9
2023-11-03,Study Blender,2.4
2023-11-04,Study Programming,3.6
2023-11-04,Reading,1.1
2023-11-04,Housework,1.5
2023-11-04,Study History,2.5
2023-11-04,weightlifting,2.5
2023-11-05,Webpage Design,0.6
2023-11-05,Housework,0.7
2023-11-06,Study Programming,3.7
2023-11-06,Yoga,2.1
2023-11-07,Study Blender,3.4
2023-11-07,Reading,0.9
2023-11-07,Housework,2.7
2023-11-07,Webpage Design,2.0
