Date,Task,Estimated Time (hours),Actual Time (hours),Status
2023-10-18,Reading,2.3,3.0,Completed
2023-10-18,Study History,3.4,4.9,Completed
2023-10-19,Webpage Design,2.1,2.6,Completed
2023-10-19,Study Programming,3.9,2.8,Not Completed
2023-10-20,Webpage Design,3.0,3.2,Completed
2023-10-20,Study Blender,4.0,5.4,Completed
2023-10-20,Yoga,1.8,1.6,Not Completed
2023-10-21,weightlifting,3.1,4.5,Completed
2023-10-21,Reading,1.8,1.4,Not Completed
2023-10-21,Study History,2.1,3.1,Completed
2023-10-21,Webpage Design,2.8,3.8,Completed
2023-10-21,Study Programming,2.9,4.0,Completed
2023-10-21,Study Blender,3.5,4.8,Completed
2023-10-22,Housework,2.3,1.9,Not Completed
2023-10-22,Reading,2.8,2.9,Completed
2023-10-22,weightlifting,1.8,1.5,Not Completed
2023-10-22,Study Blender,0.9,0.9,Completed
2023-10-22,Study History,2.0,1.6,Not Completed
2023-10-22,Yoga,2.3,1.8,Not Completed
2023-10-23,weightlifting,0.7,0.6,Not Completed
2023-10-23,Housework,2.5,2.8,Completed
2023-10-24,Study History,1.0,1.0,Completed
2023-10-24,Study Blender,2.0,2.5,Completed
2023-10-25,weightlifting,1.2,1.2,Completed
2023-10-25,Webpage Design,1.7,2.3,Completed
2023-10-25,Study Programming,1.2,1.0,Not Completed
2023-10-25,Reading,3.5,3.6,Completed
2023-10-25,Study History,3.9,5.5,Completed
2023-10-26,Study History,3.0,3.1,Completed
2023-10-26,Housework,0.9,0.8,Not Completed
2023-10-27,Housework,1.2,1.4,Completed
2023-10-27,Webpage Design,2.6,2.3,Not Completed
2023-10-28,Yoga,3.3,2.7,Not Completed
2023-10-28,Reading,2.4,2.2,Not Completed
2023-10-28,weightlifting,1.1,1.0,Not Completed
2023-10-28,Study Programming,2.2,2.0,Not Completed
2023-10-28,Housework,3.9,4.7,Completed
2023-10-29,Reading,2.9,2.9,Completed
2023-10-29,weightlifting,1.6,2.1,Completed
2023-10-29,Study History,1.4,1.3,Not Completed
2023-10-30,Housework,0.7,0.6,Not Completed
2023-10-30,Yoga,3.3,4.4,Completed
2023-10-30,Study Blender,1.2,1.0,Not Completed
2023-10-30,Reading,0.9,0.6,Not Completed
2023-10-30,Study History,0.7,0.9,Completed
2023-10-31,Webpage Design,2.6,3.9,Completed
2023-10-31,Reading,3.1,4.0,Completed
2023-10-31,Yoga,3.0,2.6,Not Completed
2023-10-31,weightlifting,2.7,3.0,Completed
2023-10-31,Study History,3.9,3.2,Not Completed
2023-10-31,Housework,0.9,1.2,Completed
2023-11-01,Reading,1.4,1.5,Completed
2023-11-01,weightlifting,2.7,2.0,Not Completed
2023-11-01,Study Blender,3.0,2.2,Not Completed
2023-11-01,Housework,0.6,0.7,Completed
2023-11-02,Webpage Design,2.0,2.3,Completed
2023-11-02,Study Programming,2.8,3.6,Completed
2023-11-02,Study History,1.5,1.9,Completed
2023-11-03,Study Blender,3.5,3.2,Not Completed
2023-11-03,weightlifting,1.0,1.4,Completed
2023-11-03,Study History,2.2,1.6,Not Completed
2023-11-04,Study Blender,3.7,4.2,Completed
2023-11-04,weightlifting,1.1,1.2,Completed
2023-11-04,Housework,2.8,2.6,Not Completed
2023-11-04,Yoga,3.8,2.7,Not Completed
2023-11-04,Webpage Design,2.0,1.4,Not Completed
2023-11-04,Reading,1.5,1.6,Completed
2023-11-05,Webpage Design,2.0,2.4,Completed
2023-11-05,Housework,1.0,1.1,Completed
2023-11-05,Study Blender,2.7,2.0,Not Completed
2023-11-06,Webpage Design,0.7,0.5,Not Completed
2023-11-06,Study History,2.9,3.6,Completed
2023-11-06,Housework,2.8,4.1,Completed
2023-11-06,Yoga,1.5,1.6,Completed
2023-11-07,Reading,0.9,1.1,Completed
2023-11-07,Study Blender,0.8,0.6,Not Completed
2023-11-07,Webpage Design,3.8,2.9,Not Completed
2023-11-07,Yoga,1.6,2.3,Completed
2023-11-08,Study Blender,2.7,3.2,Completed
2023-11-08,Reading,1.0,1.0,Completed
2023-11-08,Study Programming,1.0,1.3,Completed
2023-11-08,Housework,3.8,5.5,Completed
2023-11-08,Yoga,1.4,1.5,Completed
2023-11-08,Study History,2.9,2.5,Not Completed
2023-11-09,Housework,2.1,1.6,Not Completed
2023-11-09,Webpage Design,2.4,2.4,Completed
2023-11-09,Reading,1.0,1.2,Completed
2023-11-09,Study Programming,0.7,0.9,Completed
2023-11-10,weightlifting,2.0,2.2,Completed
2023-11-10,Webpage Design,1.3,1.7,Completed
2023-11-10,Reading,2.2,2.7,Completed
2023-11-10,Housework,2.3,1.7,Not Completed
2023-11-11,Study Programming,2.3,2.1,Not Completed
2023-11-11,weightlifting,1.5,1.4,Not Completed
2023-11-11,Study Blender,1.6,1.7,Completed
2023-11-11,Reading,1.8,1.4,Not Completed
2023-11-11,Yoga,1.2,1.5,Completed
2023-11-12,Webpage Design,1.1,0.8,Not Completed
2023-11-12,Study Blender,1.6,1.6,Completed
2023-11-12,Yoga,2.7,3.2,Completed
2023-11-12,weightlifting,3.0,2.1,Not Completed
2023-11-12,Study Programming,2.1,1.7,Not Completed
2023-11-13,Study Programming,2.7,2.1,Not Completed
2023-11-13,weightlifting,3.6,4.7,Completed
2023-11-13,Study History,3.8,4.1,Completed
2023-11-13,Study Blender,2.6,3.1,Completed
2023-11-13,Housework,3.5,4.6,Completed
2023-11-14,weightlifting,2.9,2.5,Not Completed
2023-11-14,Study Blender,3.1,2.9,Not Completed
2023-11-14,Study History,3.5,4.2,Completed
2023-11-15,Study History,3.9,2.9,Not Completed
2023-11-15,Yoga,3.7,3.5,Not Completed
2023-11-15,Study Blender,2.9,3.3,Completed
2023-11-15,Reading,3.8,3.6,Not Completed
2023-11-16,Study History,1.9,1.7,Not Completed
2023-11-16,Reading,2.5,3.4,Completed
